idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
85,ocr,2_sensor,2022A1-neousys-catalog.pdf,Unknown_A1-neousys-catalog_Catalog_EN.pdf,Unknown,A1-neousys-catalog,Catalog,EN,13969344,0,a9393bdf8c9e3be8b39ba1934c5123bc
86,ok,2_sensor,TM-310.pdf,Keyence_TM-310_Manual_KO.pdf,Keyence,TM-310,Manual,KO,4262068,6,0b7354e5c528c848406756a262499fe7
87,ok,2_sensor,견적서FOQ-0527-101_윈택오토메이션_Xs_견적건.pdf,Unknown_FOQ-0527-101_Manual_KO.pdf,Unknown,FOQ-0527-101,Manual,KO,105399,1,acb20191369ef335fb8cf3aeaa7ae961
88,ocr,2_sensor,XENON-1900SD manual.pdf,Honeywell_XENON-1900SD_Manual_EN.pdf,Honeywell,XENON-1900SD,Manual,EN,514496,0,145a20380c9c60aa72ff75719a6b7b1f
89,ok,2_sensor,네비게이터메뉴얼(참고용).pdf,Unknown_Unknown_Manual_KO_v2.pdf,Unknown,Unknown,Manual,KO,2371483,10,4e055d58d9de2db479f4df1bbfbc2d5f
90,ocr,2_sensor,레이져 마킹 작업공간.pdf,Unknown_Unknown_Manual_EN.pdf,Unknown,Unknown,Manual,EN,50047,1,32185b63e9064b11e7aefa827b2ebeef
91,ok,2_sensor,센서 견적.pdf,Unknown_Unknown_Manual_KO_v3.pdf,Unknown,Unknown,Manual,KO,71900,1,956d51c75e4c9ae488b24a6f8218cc74
92,docx,2_sensor,에어리어 센서 배선 메뉴얼(파나소닉).docx,Unknown_Unknown_WiringGuide_EN.docx,Unknown,Unknown,WiringGuide,EN,697968,0,72e34fba73b24647b08505844e33cc3e
93,ok,2_sensor,Product_catalog_Proximity_Sensors_en_IM0048618.pdf,Unknown_Product_Catalog_EN.pdf,Unknown,Product,Catalog,EN,12567935,324,146293ef5ee75eec29c6fe941fe3b9d9
94,ok,2_sensor,윈텍오토모티브(IL-030).pdf,Keyence_IL-030_EthernetInterface_KO.pdf,Keyence,IL-030,EthernetInterface,KO,108440,1,ab149d38abaef0b4e486023575b38b72
95,ok,2_sensor,마이크로 레이저 변위 센서 HG-C SERIES.pdf,Panasonic_HG-C_Manual_KO.pdf,Panasonic,HG-C,Manual,KO,831760,12,9f385f4715cd3bb99d5f31b5115d2a64
96,ocr,2_sensor,기본 IO 인터페이스 Ver1.0.0.22 (1).pdf,Unknown_IO_Manual_EN.pdf,Unknown,IO,Manual,EN,1654304,0,e15d2c31f0d1548d8887d4cb2be43a80
97,ocr,2_sensor,기본 IO 인터페이스 Ver1.0.0.14.pdf,Unknown_IO_Manual_EN_v2.pdf,Unknown,IO,Manual,EN,1493456,0,33299aa959690d2ead22e854cfe622e7
98,ocr,2_sensor,UD34944B_GigE Area Scan Camera User Manual_V4.0.0_20231214_6322.pdf,Keyence_UD34944B_UserManual_EN.pdf,Keyence,UD34944B,UserManual,EN,4555520,0,98df34e86154158946253e009e5c7b27
99,ok,2_sensor,카달로그 MD-X(하이브리드)시리즈.pdf,Keyence_MD-X_Manual_KO.pdf,Keyence,MD-X,Manual,KO,5787398,16,75449f152e488c3811a5c8cfe5c9e55a
100,ocr,2_sensor,실린더형 근접센서 GX SERIES.pdf,Unknown_GX_WiringGuide_KO.pdf,Unknown,GX,WiringGuide,KO,8612039,16,82fd91e4ed1c2a189f05b398f80ac4d6
101,ocr,2_sensor,소형 레이저 변위 센서 HL-G1 SERIES.pdf,Unknown_HL-G1_MaintenanceManual_KO.pdf,Unknown,HL-G1,MaintenanceManual,KO,5029473,15,77e4f1f7abc3262e8cdf235642496df8
102,ocr,2_sensor,sf4d_k.pdf,Unknown_sf4d_Manual_EN_v2.pdf,Unknown,sf4d,Manual,EN,9007360,0,214d835f9bb7be7832e97c7bc8e29555
