old_filename,new_filename,manufacturer,model,doctype,language,category_valid,notes
Unknown_LV-N_WiringGuide_KO.pdf,Keyence_LV-N_UserManual_KO_v4.pdf,Keyence,LV-N,UserManual,KO,true,mfr inferred from model prefix
Unknown_MD-X_Manual_KO.pdf,Keyence_MD-X_Manual_KO.pdf,Keyence,MD-X,Manual,KO,true,mfr inferred from model prefix
Unknown_ML-LP_Manual_KO.pdf,Keyence_ML-LP_UserManual_KO.pdf,Keyence,ML-LP,UserManual,KO,true,mfr inferred from model prefix
Unknown_ML-LP_UserManual_KO.pdf,Keyence_ML-LP_UserManual_KO_v2.pdf,Keyence,ML-LP,UserManual,KO,true,mfr inferred from model prefix
Unknown_PR12-4DN_InstallGuide_KO.pdf,Autonics_PR12-4DN_UserManual_KO_v3.pdf,Autonics,PR12-4DN,UserManual,KO,true,
Unknown_SERIES_Manual_KO.pdf,Unknown_SERIES_SetupGuide_KO.pdf,,SERIES,SetupGuide,KO,true,manufacturer unidentified
Unknown_SERIES_WiringGuide_KO.pdf,Unknown_SERIES_SetupGuide_KO_v2.pdf,,SERIES,SetupGuide,KO,true,manufacturer unidentified
Unknown_STC-SB_Manual_EN_2.pdf,Unknown_STC-SB_CommManual_JA.pdf,,STC-SB,CommManual,JA,true,manufacturer unidentified
Unknown_TM-310_Manual_KO.pdf,Keyence_TM-310_Manual_KO.pdf,Keyence,TM-310,Manual,KO,true,mfr inferred from model prefix
Unknown_Unknown_MaintenanceManual_EN.pdf,Unknown_M100_CommManual_EN.pdf,,M100,CommManual,EN,true,manufacturer unidentified
Unknown_Unknown_MaintenanceManual_KO.pdf,Videojet_CLARiTYTM_CommManual_KO.pdf,Videojet,CLARiTYTM,CommManual,KO,true,mfr inferred from model prefix
Unknown_Unknown_MaintenanceManual_KO_2.pdf,Unknown_Unknown_MaintenanceManual_KO.pdf,,,MaintenanceManual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_MaintenanceManual_KO_3.pdf,Unknown_MTBF_CommManual_KO.pdf,,MTBF,CommManual,KO,true,manufacturer unidentified
Unknown_Unknown_Manual_EN.pdf,Computar_MPW2_Manual_EN.pdf,Computar,MPW2,Manual,EN,true,
Unknown_Unknown_Manual_EN_2.pdf,Unknown_DIN2_Manual_EN.pdf,,DIN2,Manual,EN,false,manufacturer unidentified
Unknown_Unknown_Manual_EN_3.pdf,Unknown_DIN2_Manual_EN_v2.pdf,,DIN2,Manual,EN,false,manufacturer unidentified
Unknown_Unknown_Manual_KO.pdf,Omron_E3Z-L_Manual_KO.pdf,Omron,E3Z-L,Manual,KO,true,mfr inferred from model prefix
Unknown_Unknown_Manual_KO_10.pdf,Videojet_CLARiTYTM_CommManual_KO_v2.pdf,Videojet,CLARiTYTM,CommManual,KO,true,mfr inferred from model prefix
Unknown_Unknown_Manual_KO_11.pdf,Unknown_TIME_CommManual_KO.pdf,,TIME,CommManual,KO,true,manufacturer unidentified
Unknown_Unknown_Manual_KO_12.pdf,Unknown_Unknown_Manual_KO.pdf,,,Manual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_13.pdf,Keyence_LK-G_SetupGuide_KO.pdf,Keyence,LK-G,SetupGuide,KO,false,mfr inferred from model prefix
Unknown_Unknown_Manual_KO_14.pdf,Unknown_Unknown_Manual_KO_v2.pdf,,,Manual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_15.pdf,Keyence_LK-G_SetupGuide_KO_v2.pdf,Keyence,LK-G,SetupGuide,KO,false,mfr inferred from model prefix
Unknown_Unknown_Manual_KO_16.pdf,Unknown_Unknown_Manual_EN.pdf,,,Manual,EN,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_17.pdf,Unknown_IOVIS-TECH-MANUAL-2014_SetupGuide_KO.pdf,,IOVIS-TECH-MANUAL-2014,SetupGuide,KO,true,manufacturer unidentified
Unknown_Unknown_Manual_KO_18.pdf,Unknown_IOVIS-TECH-MANUAL-2014_SetupGuide_KO_v2.pdf,,IOVIS-TECH-MANUAL-2014,SetupGuide,KO,false,manufacturer unidentified
Unknown_Unknown_Manual_KO_19.pdf,Unknown_Unknown_Manual_KO_v3.pdf,,,Manual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_2.pdf,Unknown_Unknown_Manual_EN_v2.pdf,,,Manual,EN,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_3.pdf,Unknown_SERIES_Catalog_KO.pdf,,SERIES,Catalog,KO,true,manufacturer unidentified
