프로젝트에 장비 키워드 없는 품목 (발주이력 장비유형 있음): 479건

코드 | 품명 | 수량 | 금액 | 프로젝트 | 장비유형
60-00-04-0 | Gripper Holder | 4 | 144,000 | 화루이 소모품 구매 | CVD/PVD
30X1.5-VITON80 | O-Ring | 45 | 144,000 | 2023 개발용 자재 구매(단품,비프로젝트) | 프레스
20-25-73-0 | Pallet Holder | 8 | 144,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
PF500-10T_Filter | Filter Replacement | 120 | 144,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 핸들러
02-60-125-0 | Absorber Brkt | 4 | 140,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
GARMINEDGE520 | Film | 100 | 136,400 | 2018 공용 자재 구매 | 검사기
43876 | Mirror | 4 | 131,200 | [과제] ATC 3차 | 검사기/호닝형상
07-05-024-0 | Swing Arm | 1 | 130,000 | 한국야금 복합 툴 | 프레스/핸들러
6807ZZ | BEARING | 14 | 128,226 | OKE 맞춤형 3조 툴  | 프레스/핸들러
67-03-51-1 | Large Pin Plate(4PI) | 4 | 128,000 | OKE 부품 Large Pin 등 판매건 | PVD
20-25-71-2 | Pallet Guide | 4 | 128,000 | 다이제트 HIM-F1 #1 (#24-2) | PVD/검사기/소결/포장기/핸들러
PFMB7102-04-A-R | Digital Flow Switch | 1 | 126,140 | 세라티즈 HIM-F1 #1 (#24-1) | CVD/핸들러
07-00-020-1 | Air Blower Plate | 5 | 125,000 | 2018 공용 자재 구매 | 프레스/핸들러
127-05-01-0 | MA PCB PLATE | 5 | 122,625 | 조명제작(밀링&선삭 매크로) | 검사기
MCOC34-15-15 | Coupling | 4 | 120,696 | 중국 교세라 HIM-F1 #1 (#21-2) | 검사기/핸들러
MTCSW4 | Hole Cover | 104 | 120,328 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
PK566AW | STEPPING MOTOR | 1 | 120,000 | 한국야금 복합 툴 | 프레스/핸들러
ADD111-BOX | 알루미늄 가방 칸막이 | 120 | 120,000 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
C-AD1210-SC | Shock absorber | 4 | 116,400 | 교세라(일본) 라벨부착기 #1 | 교정
SHSTA8-25 | Shaft Holder | 8 | 116,360 | 화루이 라벨부착기 #1 | 교정
TAF61212 | Needle Bearing | 28 | 116,116 | 화루이 Insert & Spacer PP Unit 판매건 | PVD/포장기/핸들러/호닝형상
